year,district,Number of villages,latitudeField,longitudeField,population,Image_URL
2566,เมืองขอนแก่น,282,16.4333,102.8333,"415,594",https://cms.dmpcdn.com/travel/2023/12/04/d9f67bf0-9281-11ee-af69-9d564aea4294_webp_original.webp
2566,บ้านฝาง,75,16.5167,102.6667,"55,015",https://cms.dmpcdn.com/travel/2023/12/04/0f31ea30-9281-11ee-bb28-ff01bd64a11f_webp_original.webp
2566,พระยืน,53,16.3833,102.7167,"34,708",https://cms.dmpcdn.com/travel/2023/12/04/e90129d0-9284-11ee-9a5c-afa7c91cddfb_webp_original.webp
2566,หนองเรือ,149,16.4667,102.4167,"93,067",https://cms.dmpcdn.com/travel/2023/12/04/11c0fcb0-9285-11ee-9416-c3c553599969_webp_original.webp
2566,ชุมแพ,135,16.5333,102.1,"123,802",https://cms.dmpcdn.com/travel/2022/12/15/a3016710-7c41-11ed-b51a-c167f1aec1c6_webp_original.jpg
2566,สีชมพู,115,16.7833,102.1667,"77,553","https://ik.imagekit.io/tvlk/blog/2024/04/rpEMz4ez-image16-1024x683.png?tr=q-70,c-at_max,w-500,h-300,dpr-2"
2566,น้ำพอง,168,16.7,102.8,"113,729",https://cms.dmpcdn.com/travel/2023/12/04/55d39f00-9282-11ee-b6e8-1f1945d284ea_webp_original.webp
2566,อุบลรัตน์,71,16.7167,102.5833,"44,454",https://cms.dmpcdn.com/travel/2023/12/04/c5168280-9280-11ee-9416-c3c553599969_webp_original.webp
2566,กระนวน,99,16.7167,103.0833,"78,267",https://cms.dmpcdn.com/travel/2023/12/04/6d386400-9282-11ee-9a5c-afa7c91cddfb_webp_original.webp
2566,บ้านไผ่,111,16.0667,102.7167,"99,861",https://blog.drivehub.co/wp-content/uploads/2024/07/02-1-768x432.jpg
2566,เปือยน้อย,32,15.8667,102.9,"20,111",https://cms.dmpcdn.com/travel/2023/12/04/b8673780-9282-11ee-99f7-4b1f3f69c639_webp_original.webp
2566,พล,132,15.8167,102.7,"86,477",https://cms.dmpcdn.com/travel/2023/12/04/a0269170-9282-11ee-a27f-65826ad0ced1_webp_original.webp
2566,แวงใหญ่,52,15.9667,102.6,"29,356",https://blog.drivehub.co/wp-content/uploads/2024/07/03-1-768x432.jpg
2566,แวงน้อย,74,15.8,102.45,"41,876",https://blog.drivehub.co/wp-content/uploads/2023/08/02-2-768x432.jpg
2566,หนองสองห้อง,138,15.75,102.8,"76,954",https://blog.drivehub.co/wp-content/uploads/2024/07/04-1-768x432.jpg
2566,ภูเวียง,114,16.6167,102.3667,"71,940",https://blog.drivehub.co/wp-content/uploads/2023/08/04-3-768x432.jpg
2566,มัญจาคีรี,118,16.1667,102.6833,"70,493",https://cms.dmpcdn.com/travel/2023/12/04/c2458b60-9284-11ee-9416-c3c553599969_webp_original.webp
2566,ชนบท,80,16.0833,102.6333,"47,949",https://cms.dmpcdn.com/travel/2023/12/04/33d99560-9284-11ee-a27f-65826ad0ced1_webp_original.webp
2566,เขาสวนกวาง,56,16.8333,102.7,"38,203",https://cms.dmpcdn.com/travel/2023/12/04/a82c9fb0-9280-11ee-bb28-ff01bd64a11f_webp_original.webp
2566,ภูผาม่าน,42,16.7,101.95,"23,157",https://cms.dmpcdn.com/travel/2023/12/04/48919140-9281-11ee-8bfb-8b5fb0548994_webp_original.webp
2566,ซำสูง,35,16.5833,102.55,"23,508",https://cms.dmpcdn.com/travel/2023/12/04/0c784110-9284-11ee-917b-85a0d4b200ce_webp_original.webp
2566,โคกโพธิ์ไชย,40,16.0333,102.5,"25,269",https://cms.dmpcdn.com/travel/2023/12/04/92d75260-9283-11ee-9416-c3c553599969_webp_original.webp
2566,หนองนาคำ,35,16.7167,102.5833,"23,780",https://cms.dmpcdn.com/travel/2021/10/05/ed873d50-2599-11ec-affb-eb093e7fc837_webp_original.jpg
2566,บ้านแฮด,46,16.2833,102.7,"32,784",https://cms.dmpcdn.com/travel/2023/12/04/99522cc0-9281-11ee-bb28-ff01bd64a11f_webp_original.webp
2566,โนนศิลา,46,16.2,102.8667,"26,620",https://cms.dmpcdn.com/travel/2023/12/04/2cd08c20-9283-11ee-9416-c3c553599969_webp_original.webp
2566,เวียงเก่า,36,16.6333,102.4667,"20,004",https://cms.dmpcdn.com/travel/2023/12/04/87d1b200-9280-11ee-a27f-65826ad0ced1_webp_original.webp
