year,district,Number of villages,latitudeField,longitudeField,population
2566,เมืองขอนแก่น,282,6.4333,102.8333,"415,594"
2566,บ้านฝาง,75,16.5167,102.6667,"55,015"
2566,พระยืน,53,16.3833,102.7167,"34,708"
2566,หนองเรือ,149,16.4667,102.4167,"93,067"
2566,ชุมแพ,135,16.5333,102.1,"123,802"
2566,สีชมพู,115,16.7833,102.1667,"77,553"
2566,น้ำพอง,168,16.7,102.8,"113,729"
2566,อุบลรัตน์,71,16.7167,102.5833,"44,454"
2566,กระนวน,99,16.7167,103.0833,"78,267"
2566,บ้านไผ่,111,16.0667,102.7167,"99,861"
2566,เปือยน้อย,32,15.8667,102.9,"20,111"
2566,พล,132,15.8167,102.7,"86,477"
2566,แวงใหญ่,52,15.9667,102.6,"29,356"
2566,แวงน้อย,74,15.8,102.45,"41,876"
2566,หนองสองห้อง,138,15.75,102.8,"76,954"
2566,ภูเวียง,114,16.6167,102.3667,"71,940"
2566,มัญจาคีรี,118,16.1667,102.6833,"70,493"
2566,ชนบท,80,16.0833,102.6333,"47,949"
2566,เขาสวนกวาง,56,16.8333,102.7,"38,203"
2566,ภูผาม่าน,42,16.7,101.95,"23,157"
2566,ซำสูง,35,16.5833,102.55,"23,508"
2566,โคกโพธิ์ไชย,40,16.0333,102.5,"25,269"
2566,หนองนาคำ,35,16.7167,102.5833,"23,780"
2566,บ้านแฮด,46,16.2833,102.7,"32,784"
2566,โนนศิลา,46,16.2,102.8667,"26,620"
2566,เวียงเก่า,36,16.6333,102.4667,"20,004"
