ปี,อำเภอ,จำนวนหมู่บ้าน,รูปภาพ,latitudeField,longitudeField
2566,รวม,2334,,,
2566,เมืองขอนแก่น,282,,,
2566,บ้านฝาง,75,,,
2566,พระยืน,53,,,
2566,หนองเรือ,149,,,
2566,ชุมแพ,135,,,
2566,สีชมพู,115,,,
2566,น้ำพอง,168,,,
2566,อุบลรัตน์,71,,,
2566,กระนวน,99,,,
2566,บ้านไผ่,111,,,
2566,เปือยน้อย,32,,,
2566,พล,132,,,
2566,แวงใหญ่,52,,,
2566,แวงน้อย,74,,,
2566,หนองสองห้อง,138,,,
2566,ภูเวียง,114,,,
2566,มัญจาคีรี,118,,,
2566,ชนบท,80,,,
2566,เขาสวนกวาง,56,,,
2566,ภูผาม่าน,42,,,
2566,ซำสูง,35,,,
2566,โคกโพธิ์ไชย,40,,,
2566,หนองนาคำ,35,,,
2566,บ้านแฮด,46,,,
2566,โนนศิลา,46,,,
2566,เวียงเก่า,36,,,
